S.No,Content,Publisher,Date
1,Syrian rebel leader says he will name Assad officials wanted for torture,BBC,2024-12-10
2,"Abu Mohammed al-Jolani said rewards would be offered for information about senior army and security officers involved in ""war crimes"".",BBC,2024-12-10
3,"Shaken by Assad's sudden fall, Syria faces seismic turning point",BBC,2024-12-10
4,"The worst scenario for Syrians is that their country will spin into violent chaos, writes the BBC's Jeremy Bowen.",BBC,2024-12-10
7,New Zealand to ban greyhound racing,BBC,2024-12-10
8,"The industry has long faced criticism, with some breeders accused of mistreating or doping the animals.",BBC,2024-12-10
9,Mining the Pacific – future proofing or fool's gold?,BBC,2024-12-10
10,People living in the Pacific nation are divided on whether to push ahead with deep-sea mining for polymetallic nodules.,BBC,2024-12-10
13,"Israel carries out dozens of air strikes across Syria, reports say",BBC,2024-12-10
14,"Israel says it is acting to stop weapons falling ""into the hands of extremists"" following the end of Assad's regime.",BBC,2024-12-10
15,Luigi Mangione charged with murdering healthcare CEO in New York,BBC,2024-12-10
16,"The 26-year-old man was taken into custody at a McDonald's in the town of Altoona, Pennsylvania, on Monday.",BBC,2024-12-10
17,Will bribery charges against Adani derail India's green goals?,BBC,2024-12-10
18,The Adani Group is aiming to contribute to a tenth of India's renewable energy needs by 2032.,BBC,2024-12-10
19,Champion cyclist pleads guilty over wife's car death,BBC,2024-12-10
20,"Rohan Dennis was driving a car that struck his wife, fellow Olympian Melissa Hoskins, in Australia.",BBC,2024-12-10
21,"What we know Luigi Mangione, the IT graduate charged over shooting of CEO",BBC,2024-12-10
22,Hershey shares jump on Cadbury owner buyout report,BBC,2024-12-10
23,Bosses of world’s largest LGBT news site PinkNews accused of sexual misconduct,BBC,2024-12-10
24,Murdoch loses bid to change trust in real-life 'Succession' battle,BBC,2024-12-10
25,Google unveils 'mind-boggling' quantum computing chip,BBC,2024-12-10
26,Syria rescuers end search for secret cells in notorious prison,BBC,2024-12-10
27,"The White Helmets say it did not find any ""unopened or hidden areas"" after it was captured by rebels.",BBC,2024-12-10
